code,name,level,parent_code,account_type,full_path
10000000,الموارد,1,,income,الموارد
11000000,الايرادات,2,10000000,income,الموارد / الايرادات
11100000,الباب الاول - الضرائب,3,11000000,income,الموارد / الايرادات / الباب الاول - الضرائب
11110000,الضرائب على الدخول والارباح والمكاسب الرأسمالية,4,11100000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية
11110100,الضرائب على الدخول من التوظف,5,11110000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الدخول من التوظف
11110101,الضرائب على المرتبات المحلية,6,11110100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الدخول من التوظف / الضرائب على المرتبات المحلية
11110102,الضرائب على رواتب العاملين بالخارج,6,11110100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الدخول من التوظف / الضرائب على رواتب العاملين بالخارج
11110103,ضرائب الدمغة على الرواتب,6,11110100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الدخول من التوظف / ضرائب الدمغة على الرواتب
11110104,رسم تنمية على المرتبات وما فى حكمها,6,11110100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الدخول من التوظف / رسم تنمية على المرتبات وما فى حكمها
11110200,الضرائب على دخول الافراد بخلاف التوظف,5,11110000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف
11110201,الضرائب على المهن غير التجارية,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / الضرائب على المهن غير التجارية
11110202,رسم تنمية على صافى المهن غير التجارية,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / رسم تنمية على صافى المهن غير التجارية
11110203,ضرائب النشاط التجارى والصناعى,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / ضرائب النشاط التجارى والصناعى
11110204,رسم تنمية على صافى أرباح النشاط التجارى والصناعى,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / رسم تنمية على صافى أرباح النشاط التجارى والصناعى
11110205,نصيب المحليات من الضريبة على الأرباح التجارية والصناعية,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / نصيب المحليات من الضريبة على الأرباح التجارية والصناعية
11110206,ضرائب على الفائدة من السندات ( رؤوس أموال منقولة ),6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / ضرائب على الفائدة من السندات ( رؤوس أموال منقولة )
11110207,الضريبة العامة على الدخل,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / الضريبة العامة على الدخل
11110208,رسم تنمية على مايمنح لرؤساء وأعضاء مجالس الإدارة من مبالغ تدخل ضمن إيرادات رؤوس الأموال المنقولة,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / رسم تنمية على مايمنح لرؤساء وأعضاء مجالس الإدارة من مبالغ تدخل ضمن إيرادات رؤوس الأموال المنقولة
11110209,ايرادات أخرى,6,11110200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على دخول الافراد بخلاف التوظف / ايرادات أخرى
11110300,الضرائب على الارباح الرأسمالية,5,11110000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الارباح الرأسمالية
11110301,ضريبة الثروة العقارية,6,11110300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الارباح الرأسمالية / ضريبة الثروة العقارية
11110302,أخرى,6,11110300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الارباح الرأسمالية / أخرى
11110303,ضريبة توزيعات وارباح راسمالية,6,11110300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الارباح الرأسمالية / ضريبة توزيعات وارباح راسمالية
11110304,ضريبة على اعادة التقييم بما فى ذلك حالات الاندماج والتقسيم والاستحواذ,6,11110300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضرائب على الارباح الرأسمالية / ضريبة على اعادة التقييم بما فى ذلك حالات الاندماج والتقسيم والاستحواذ
11110400,الضريبة على ارباح شركات الاموال,5,11110000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال
11110401,من هيئة البترول والشريك الاجنبى,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / من هيئة البترول والشريك الاجنبى
11110402,من قناة السويس,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / من قناة السويس
11110403,من البنك المركزى,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / من البنك المركزى
11110404,باقى الشركات,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / باقى الشركات
11110405,رسم تنمية على صافى أرباح الجهات المنصوص عليها فى المادة(111) من القانون رقم (157) لسنة 1981,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / رسم تنمية على صافى أرباح الجهات المنصوص عليها فى المادة(111) من القانون رقم (157) لسنة 1981
11110406,نصيب المحليات فى ضريبة قناة السويس,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / نصيب المحليات فى ضريبة قناة السويس
11110407,نصيب المحليات فى الضريبة على أرباح شركات الأموال,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / نصيب المحليات فى الضريبة على أرباح شركات الأموال
11110408,نصيب المحليات فى الصندوق المشترك,6,11110400,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / الضريبة على ارباح شركات الاموال / نصيب المحليات فى الصندوق المشترك
11110500,اخرى متنوعة,5,11110000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / اخرى متنوعة
11110501,اخرى (تنشيط حصيلة),6,11110500,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الدخول والارباح والمكاسب الرأسمالية / اخرى متنوعة / اخرى (تنشيط حصيلة)
11120000,الضرائب على الممتلكات,4,11100000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات
11120100,ضرائب دوريه على الممتلكات,5,11120000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات
11120101,ضريبة الاراضى,6,11120100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات / ضريبة الاراضى
11120102,ضريبة المبانى,6,11120100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات / ضريبة المبانى
11120103,ضرائب دورية على صافى الثروه,6,11120100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات / ضرائب دورية على صافى الثروه
11120104,ضرائب على العقارات والمواريث والمنح,6,11120100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات / ضرائب على العقارات والمواريث والمنح
11120105,أخرى,6,11120100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب دوريه على الممتلكات / أخرى
11120200,ضرائب على العمليات المالية التجارية والرأسمالية,5,11120000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب على العمليات المالية التجارية والرأسمالية
11120201,رسوم نقل الملكية,6,11120200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب على العمليات المالية التجارية والرأسمالية / رسوم نقل الملكية
11120202,ضرائب أذون وسندات الخزانة,6,11120200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب على العمليات المالية التجارية والرأسمالية / ضرائب أذون وسندات الخزانة
11120300,ضرائب ورسوم على السيارات,5,11120000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب ورسوم على السيارات
11120301,رسوم تنمية على السيارات ورخص القيادة,6,11120300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب ورسوم على السيارات / رسوم تنمية على السيارات ورخص القيادة
11120302,رسوم تنمية على السيارات الجديدة المنتجة محلياً وجميع السيارات المستوردة من الخارج,6,11120300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب ورسوم على السيارات / رسوم تنمية على السيارات الجديدة المنتجة محلياً وجميع السيارات المستوردة من الخارج
11120303,ضرائب ورسوم ذات صفة محلية على السيارات,6,11120300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب ورسوم على السيارات / ضرائب ورسوم ذات صفة محلية على السيارات
11120304,ضرائب على السيارات الخاصة (تضمان اجتماعى),6,11120300,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على الممتلكات / ضرائب ورسوم على السيارات / ضرائب على السيارات الخاصة (تضمان اجتماعى)
11130000,الضرائب على السلع والخدمات,4,11100000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات
11130100,الضريبة العامة على المبيعات,5,11130000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضريبة العامة على المبيعات
11130101,على السلع المحلية,6,11130100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضريبة العامة على المبيعات / على السلع المحلية
11130102,على البضائع المستوردة,6,11130100,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / الضريبة العامة على المبيعات / على البضائع المستوردة
11130200,ضريبة المبيعات على الخدمات,5,11130000,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضريبة المبيعات على الخدمات
11130201,الخدمات المقدمة فى الفنادق والمطاعم السياحية,6,11130200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضريبة المبيعات على الخدمات / الخدمات المقدمة فى الفنادق والمطاعم السياحية
11130202,خدمات التشغيل للغير,6,11130200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضريبة المبيعات على الخدمات / خدمات التشغيل للغير
11130203,خدمات الاتصالات الدولية والمحلية,6,11130200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضريبة المبيعات على الخدمات / خدمات الاتصالات الدولية والمحلية
11130204,خدمات أخرى,6,11130200,income,الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضريبة المبيعات على الخدمات / خدمات أخرى
11130300,"ضرائب على سلع جدول رقم ""1"" محلية",5,11130000,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية"
11130301,الشاى,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الشاى"
11130302,السكر,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / السكر"
11130303,مياه غازيه,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / مياه غازيه"
11130304,بيره,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / بيره"
11130305,تبغ وسجائر,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / تبغ وسجائر"
11130306,منتجات بترولية,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / منتجات بترولية"
11130307,الكحول,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الكحول"
11130308,الادوية,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الادوية"
11130309,زيوت طعام نباتيه,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / زيوت طعام نباتيه"
11130310,زيوت وشحوم,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / زيوت وشحوم"
11130311,اسمنت,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / اسمنت"
11130312,الجعة (البيرة) الكحولية (ضريبة جدول + ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الجعة (البيرة) الكحولية (ضريبة جدول + ضريبة قيمة مضافة )"
11130313,محضرات عطور أو تطرية أو تجميل ومنتجات معدة للعناية بالجلد أو الشعر (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / محضرات عطور أو تطرية أو تجميل ومنتجات معدة للعناية بالجلد أو الشعر (ضريبة جدول +ضريبة قيمة مضافة )"
11130314,المقرمشات والمنتجات المصنعة من دقيق والحلوى من عجين عدا الخبز بجميع أنواعه,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / المقرمشات والمنتجات المصنعة من دقيق والحلوى من عجين عدا الخبز بجميع أنواعه"
11130315,البطاطس المصنعة (الشيبس وإبداله),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / البطاطس المصنعة (الشيبس وإبداله)"
11130316,الأسمدة والمبيدات الزراعية,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الأسمدة والمبيدات الزراعية"
11130317,الجبس,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الجبس"
11130318,الصابون والمنظفات الصناعية للاستخدام المنزلى,6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / الصابون والمنظفات الصناعية للاستخدام المنزلى"
11130319,التليفزيونات (أكبر من 32 بوصة ) ، الثلاجات (أكبر من 16 قدم) ، الديب فريز (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / التليفزيونات (أكبر من 32 بوصة ) ، الثلاجات (أكبر من 16 قدم) ، الديب فريز (ضريبة جدول +ضريبة قيمة مضافة )"
11130320,أجهزة تكييف الهواء ووحداتها المستقلة (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / أجهزة تكييف الهواء ووحداتها المستقلة (ضريبة جدول +ضريبة قيمة مضافة )"
11130321,سيارات خاصة لنقل الأشخاص فى ملاعب الجولف ، وسيارات مماثلة (ضريبة جدول +ضريبة قيمة مضافة ),6,11130300,income,"الموارد / الايرادات / الباب الاول - الضرائب / الضرائب على السلع والخدمات / ضرائب على سلع جدول رقم ""1"" محلية / سيارات خاصة لنقل الأشخاص فى ملاعب الجولف ، وسيارات مماثلة (ضريبة جدول +ضريبة قيمة مضافة )"
