code,name,account_type,reconcile
10000000,الموارد,income,False
11000000,الايرادات,income,False
11100000,الباب الاول - الضرائب,income,False
11110000,الضرائب على الدخول والارباح والمكاسب الرأسمالية,income,False
11110100,الضرائب على الدخول من التوظف,income,False
11110101,الضرائب على المرتبات المحلية,income,True
11110102,الضرائب على رواتب العاملين بالخارج,income,True
11110103,ضرائب الدمغة على الرواتب,income,True
11110104,رسم تنمية على المرتبات وما فى حكمها,income,True
11110200,الضرائب على دخول الافراد بخلاف التوظف,income,False
11110201,الضرائب على المهن غير التجارية,income,True
11110202,رسم تنمية على صافى المهن غير التجارية,income,True
11110203,ضرائب النشاط التجارى والصناعى,income,True
11110204,رسم تنمية على صافى أرباح النشاط التجارى والصناعى,income,True
11110205,نصيب المحليات من الضريبة على الأرباح التجارية والصناعية,income,True
11110206,ضرائب على الفائدة من السندات ( رؤوس أموال منقولة ),income,True
11110207,الضريبة العامة على الدخل,income,True
11110208,رسم تنمية على مايمنح لرؤساء وأعضاء مجالس الإدارة من مبالغ تدخل ضمن إيرادات رؤوس الأموال المنقولة,income,True
11110209,ايرادات أخرى,income,True
11110300,الضرائب على الارباح الرأسمالية,income,False
11110301,ضريبة الثروة العقارية,income,True
11110302,أخرى,income,True
11110303,ضريبة توزيعات وارباح راسمالية,income,True
11110304,ضريبة على اعادة التقييم بما فى ذلك حالات الاندماج والتقسيم والاستحواذ,income,True
11110400,الضريبة على ارباح شركات الاموال,income,False
11110401,من هيئة البترول والشريك الاجنبى,income,True
11110402,من قناة السويس,income,True
11110403,من البنك المركزى,income,True
11110404,باقى الشركات,income,True
11110405,رسم تنمية على صافى أرباح الجهات المنصوص عليها فى المادة(111) من القانون رقم (157) لسنة 1981,income,True
11110406,نصيب المحليات فى ضريبة قناة السويس,income,True
11110407,نصيب المحليات فى الضريبة على أرباح شركات الأموال,income,True
11110408,نصيب المحليات فى الصندوق المشترك,income,True
11110500,اخرى متنوعة,income,False
11110501,اخرى (تنشيط حصيلة),income,True
11120000,الضرائب على الممتلكات,income,False
11120100,ضرائب دوريه على الممتلكات,income,False
11120101,ضريبة الاراضى,income,True
11120102,ضريبة المبانى,income,True
11120103,ضرائب دورية على صافى الثروه,income,True
11120104,ضرائب على العقارات والمواريث والمنح,income,True
11120105,أخرى,income,True
11120200,ضرائب على العمليات المالية التجارية والرأسمالية,income,False
11120201,رسوم نقل الملكية,income,True
11120202,ضرائب أذون وسندات الخزانة,income,True
11120300,ضرائب ورسوم على السيارات,income,False
11120301,رسوم تنمية على السيارات ورخص القيادة,income,True
11120302,رسوم تنمية على السيارات الجديدة المنتجة محلياً وجميع السيارات المستوردة من الخارج,income,True
11120303,ضرائب ورسوم ذات صفة محلية على السيارات,income,True
11120304,ضرائب على السيارات الخاصة (تضمان اجتماعى),income,True
11130000,الضرائب على السلع والخدمات,income,False
11130100,الضريبة العامة على المبيعات,income,False
11130101,على السلع المحلية,income,True
11130102,على البضائع المستوردة,income,True
11130200,ضريبة المبيعات على الخدمات,income,False
11130201,الخدمات المقدمة فى الفنادق والمطاعم السياحية,income,True
11130202,خدمات التشغيل للغير,income,True
11130203,خدمات الاتصالات الدولية والمحلية,income,True
11130204,خدمات أخرى,income,True
11130300,"ضرائب على سلع جدول رقم ""1"" محلية",income,False
11130301,الشاى,income,True
11130302,السكر,income,True
11130303,مياه غازيه,income,True
11130304,بيره,income,True
11130305,تبغ وسجائر,income,True
